"doi","URL","content.type","content.version","intended.application","language","id"
"10.1177/1474885116658391","http://journals.sagepub.com/doi/pdf/10.1177/1474885116658391","application/pdf","vor","text-mining","en",139
"10.1177/1474885116658391","http://journals.sagepub.com/doi/pdf/10.1177/1474885116658391","unspecified","vor","similarity-checking","en",140
"10.1177/1368431013484003","http://journals.sagepub.com/doi/pdf/10.1177/1368431013484003","application/pdf","vor","text-mining","en",141
"10.1177/1368431013484003","http://journals.sagepub.com/doi/pdf/10.1177/1368431013484003","unspecified","vor","similarity-checking","en",142
"10.1057/s41268-019-00180-w","http://link.springer.com/content/pdf/10.1057/s41268-019-00180-w.pdf","application/pdf","vor","text-mining","en",143
"10.1057/s41268-019-00180-w","http://link.springer.com/content/pdf/10.1057/s41268-019-00180-w.pdf","application/pdf","vor","similarity-checking","en",144
"10.1108/k-12-2020-0843","https://www.emerald.com/insight/content/doi/10.1108/K-12-2020-0843/full/html","unspecified","vor","similarity-checking","en",145
"10.1007/978-3-319-74098-0_10","http://link.springer.com/content/pdf/10.1007/978-3-319-74098-0_10","unspecified","vor","similarity-checking",NA,146
"10.3390/ijerph192114355","https://www.mdpi.com/1660-4601/19/21/14355/pdf","unspecified","vor","similarity-checking","en",147
"10.1038/bdj.2007.150","http://www.nature.com/articles/bdj.2007.150.pdf","application/pdf","vor","text-mining","en",148
"10.1038/bdj.2007.150","http://www.nature.com/articles/bdj.2007.150.pdf","application/pdf","vor","similarity-checking","en",149
"10.1590/s0102-69092013000300007","http://www.scielo.br/pdf/rbcsoc/v28n83/07.pdf","unspecified","vor","similarity-checking","en",150
"10.1590/00115258201434","http://www.scielo.br/pdf/dados/v57n4/0011-5258-dados-57-04-1109.pdf","unspecified","vor","similarity-checking",NA,151
"10.17507/tpls.0908.12","http://www.academypublication.com/ojs/index.php/tpls/article/viewFile/2016/2021","application/pdf","vor","text-mining",NA,152
"10.17507/tpls.0908.12","http://www.academypublication.com/ojs/index.php/tpls/article/viewFile/2016/2021","unspecified","vor","similarity-checking",NA,153
"10.17645/si.v9i3.4322","https://www.cogitatiopress.com/socialinclusion/article/viewFile/4322/4322","application/pdf","vor","text-mining",NA,154
"10.17645/si.v9i3.4322","https://www.cogitatiopress.com/socialinclusion/article/viewFile/4322/4322","unspecified","vor","similarity-checking",NA,155
"10.5209/poso.54350","https://revistas.ucm.es/index.php/POSO/article/download/54350/52316","application/pdf","vor","text-mining",NA,156
"10.5209/poso.54350","https://revistas.ucm.es/index.php/POSO/article/download/54350/52316","unspecified","vor","similarity-checking",NA,157
"10.1590/0103-2070201526","http://www.scielo.br/pdf/ts/v27n2/1809-4554-ts-27-02-00129.pdf","unspecified","vor","similarity-checking","en",158
"10.1080/01426397.2017.1290791","https://www.tandfonline.com/doi/pdf/10.1080/01426397.2017.1290791","application/pdf","vor","text-mining","en",159
"10.1080/01426397.2017.1290791","https://www.tandfonline.com/doi/pdf/10.1080/01426397.2017.1290791","unspecified","vor","similarity-checking","en",160
"10.1177/0001699314565213","http://journals.sagepub.com/doi/pdf/10.1177/0001699314565213","application/pdf","vor","text-mining","en",161
"10.1177/0001699314565213","http://journals.sagepub.com/doi/pdf/10.1177/0001699314565213","unspecified","vor","similarity-checking","en",162
"10.1080/02680939.2019.1605541","https://www.tandfonline.com/doi/pdf/10.1080/02680939.2019.1605541","unspecified","vor","similarity-checking","en",163
"10.1080/15528014.2020.1740142","https://www.tandfonline.com/doi/pdf/10.1080/15528014.2020.1740142","unspecified","vor","similarity-checking","en",164
"10.1007/978-3-540-93802-6_14","http://link.springer.com/content/pdf/10.1007/978-3-540-93802-6_14.pdf","unspecified","vor","similarity-checking",NA,165
"10.4067/s0049-34492007000100003","https://www.scielo.cl/pdf/tv/v48n1/art03.pdf;","unspecified","vor","similarity-checking","en",166
"10.1007/s10460-020-10185-8","https://link.springer.com/content/pdf/10.1007/s10460-020-10185-8.pdf","application/pdf","vor","text-mining","en",167
